,Age,Gender,Race,Living_area,Income,Bus_usage,Challenges,,,,,,Limited_routes,Inadequate_Service,Highcost,Preferown,Safety_1,Insufficient_info,Carry_items,Disabilities,Overcrowded,Privacy_concernbus,Improvements,,,,,,,Buslanes_2,App_2,Services_2,Hybrid_2,Hours_2,Sharing_2,Loyalty_2,Purpose,,,,,,Work,Education,Medical,Leisure,Shopping,Church,Other,Wait_time,Commute_time,Getting_tostation,Time_spend,Concern_COVID19,Reasons_COVID19,,,Overcrowded,Masks,Socialdistance,Smartphone,Application_used,,,Google,CATS,Other,Satisfaction_CATS,Reasons_CATS,,,Schedule_3,Userfriendly_3,Slow_3,Others_3,Willingness_Uber,Desired_timeline,Ticket_location,Willingness_newapp,Concern_newapp,Willingness_travelapp,Interested_intech,,,,Wait_time,Trip,Privacy,App
33,25-34,Male,Black,North,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,20_30,5_10,Walk,30,Notimportant,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,NA,NA,,,0,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
34,35-44,Male,White,North,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,30,10_20,Walk,30,veryConcerned,Overcrowded,,,1,0,0,No,NA,,,0,0,0,NA,Schedule,,,1,0,0,0,No,30,Website,Yes,Needs,Verywilling,Wait_time,,,,1,0,0,0
35,25-34,Male,Black,East,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,20_30,10_20,Anotherbus,20_30,Notimportant,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,NA,Schedule,,,1,0,0,0,No,30,Website,No,Trust_inbus,Somewhatwilling,Wait_time,,,,1,0,0,0
36,35-44,Female,White,North,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,30,5_10,Walk,10_20,Notimportant,Masks,,,0,1,0,Yes,Google,,,1,0,0,Verysatisfied,Userfriendly,,,0,1,0,0,No,30,CTC,Yes,Trust_inbus,Somewhatwilling,Wait_time,,,,1,0,0,0
37,45-54,Male,Black,North,12.5K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,5_10,Anotherbus,10_20,UsuallyConcerned,Socialdistance,,,0,0,1,Yes,CATS,,,0,1,0,Somewhatsatisfied,Schedule,,,1,0,0,0,Yes,30,CTC,Yes,Needs,Somewhatwilling,Wait_time,,,,1,0,0,0
38,18-24,Male,Asian,South,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,20_30,10_20,Anotherbus,10_20,Notimportant,Masks,,,0,1,0,Yes,CATS,,,0,1,0,Somewhatsatisfied,Userfriendly,,,0,1,0,0,Yes,30,MobileApp,Yes,Privacy,Unwilling,Wait_time,,,,1,0,0,0
39,35-44,Male,Black,West,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,Leisure,Medical,,,,0,0,1,1,1,0,0,20_30,10_20,Anotherbus,20_30,Notimportant,Overcrowded,,,1,0,0,Yes,Google,,,1,0,0,NA,NA,,,0,0,0,0,Yes,30,CTC,Yes,Privacy,Somewhatwilling,Wait_time,,,,1,0,0,0
40,35-44,Male,White,North,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,5_10,5_10,Walk,5_10,Notimportant,Masks,,,0,1,0,Yes,CATS,,,0,1,0,Verysatisfied,Schedule,,,1,0,0,0,No,30,MobileApp,No,Privacy,Verywilling,Wait_time,,,,1,0,0,0
41,45-54,Male,Black,North,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,5_10,10_20,Walk,10_20,veryConcerned,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Verysatisfied,Others,,,0,0,0,1,No,30,MobileApp,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
42,35-44,Male,Black,East,45K_80K,Rarely,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,5_10,Anotherbus,30,UsuallyConcerned,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Verysatisfied,NA,,,0,0,0,0,Yes,30,TicketMachine,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
